Date,Open,High,Low,Close,Volume
2019-08-20,5.55,5.55,5.55,5.55,500.0
2019-08-21,5.94,5.94,5.4,5.44,11000.0
2019-08-22,5.79,5.79,5.4,5.46,33500.0
2019-08-23,5.75,6.25,5.5,5.79,92500.0
2019-08-26,5.22,5.59,5.22,5.59,1000.0
2019-08-28,5.85,5.88,5.85,5.88,1000.0
2019-08-29,5.5,5.5,5.3,5.5,14000.0
2019-09-04,5.6,6.48,5.6,6.48,4000.0
2019-09-05,5.48,5.99,5.48,5.69,2000.0
2019-09-11,5.2,5.2,5.2,5.2,1000.0
2019-09-12,5.9,6.15,5.16,5.8,2000.0
2019-09-13,5.2,5.75,5.0,5.38,13000.0
2019-09-16,5.89,5.89,5.31,5.55,3500.0
2019-09-17,5.75,5.95,5.7,5.89,5000.0
2019-09-18,5.9,5.9,5.9,5.9,500.0
2019-09-19,5.9,5.95,5.9,5.95,1500.0
2019-09-20,5.06,6.0,5.06,5.72,26000.0
2019-09-23,5.79,5.79,5.79,5.79,500.0
2019-09-24,5.7,5.79,5.6,5.6,3500.0
2019-09-25,5.9,5.9,5.9,5.9,500.0
2019-09-26,5.74,5.75,5.74,5.75,4500.0
2019-09-27,5.75,5.75,5.7,5.75,27000.0
2019-09-30,6.35,6.4,6.0,6.03,172500.0
2019-10-01,6.11,6.11,6.01,6.09,76500.0
2019-10-02,6.0,6.1,6.0,6.1,7000.0
2019-10-03,6.12,7.0,6.0,7.0,101000.0
2019-10-04,6.9,6.9,6.9,6.9,1000.0
2019-10-07,6.9,6.97,6.85,6.97,13500.0
2019-10-08,6.98,7.0,6.6,6.6,14000.0
2019-10-09,6.7,6.79,6.7,6.79,6000.0
2019-10-10,6.85,6.9,6.85,6.9,4500.0
2019-10-11,6.66,6.75,6.5,6.51,103500.0
2019-10-14,6.51,6.51,6.5,6.5,3000.0
2019-10-16,6.5,7.0,6.5,6.8,32000.0
2019-10-17,6.61,6.61,6.4,6.4,4000.0
2019-10-18,6.6,6.6,6.6,6.6,500.0
2019-10-21,6.06,6.35,6.06,6.28,2000.0
2019-10-22,6.07,6.2,6.07,6.2,8000.0
2019-10-23,6.44,6.48,6.3,6.3,5000.0
2019-10-24,6.5,6.5,6.25,6.25,11500.0
2019-10-25,6.3,6.3,6.25,6.25,31000.0
2019-10-29,6.5,6.69,6.35,6.43,32500.0
2019-11-04,6.48,6.5,6.25,6.45,30500.0
2019-11-05,6.48,6.5,6.48,6.5,10500.0
2019-11-06,6.5,6.5,6.5,6.5,5000.0
2019-11-07,6.35,6.49,6.2,6.45,16500.0
2019-11-11,6.31,6.6,6.31,6.6,1500.0
2019-11-12,6.5,6.5,6.31,6.45,4000.0
2019-11-13,6.5,6.5,6.5,6.5,4000.0
2019-11-14,7.0,7.0,7.0,7.0,500.0
2019-11-15,7.0,7.25,6.99,7.25,34500.0
2019-11-18,7.5,7.6,7.0,7.25,67500.0
2019-11-19,7.2,7.25,7.0,7.0,11000.0
2019-11-20,7.0,7.6,7.0,7.55,78000.0
2019-11-21,7.5,7.69,7.31,7.41,3000.0
2019-11-25,7.55,7.75,7.55,7.75,2500.0
2019-11-26,7.06,7.74,7.06,7.63,9000.0
2019-11-27,7.9,7.9,7.9,7.9,500.0
2019-11-28,7.95,8.19,7.6,7.66,16000.0
2019-11-29,7.66,7.8,7.66,7.8,10000.0
2019-12-02,8.0,8.3,8.0,8.24,13000.0
2019-12-03,8.0,8.5,7.7,7.98,34000.0
2019-12-04,7.6,8.0,7.6,8.0,2000.0
2019-12-05,7.6,8.1,7.35,8.1,7500.0
2019-12-09,8.4,8.4,8.4,8.4,500.0
2019-12-13,7.61,7.95,7.6,7.75,12000.0
2019-12-16,8.1,8.75,8.0,8.25,42500.0
2019-12-17,8.3,8.4,8.0,8.2,8000.0
2019-12-18,8.0,8.0,7.2,7.75,3500.0
2019-12-19,7.8,7.8,7.6,7.67,7000.0
2019-12-20,7.4,7.4,7.4,7.4,500.0
2019-12-23,7.4,7.4,6.99,7.0,43000.0
2019-12-24,6.61,7.0,6.6,7.0,52500.0
2019-12-26,0.0,7.25,7.25,7.0,500.0
2019-12-27,7.1,7.1,7.0,7.0,10500.0
2019-12-30,7.25,7.25,7.0,7.0,1500.0
2020-01-02,7.5,7.95,7.5,7.51,21000.0
2020-01-03,7.5,7.55,7.5,7.55,1500.0
2020-01-06,7.55,7.55,7.55,7.55,3000.0
2020-01-08,7.3,7.4,7.25,7.4,2500.0
2020-01-09,7.25,7.5,7.25,7.5,1500.0
2020-01-10,7.7,8.0,7.7,8.0,8000.0
2020-01-13,8.0,8.55,8.0,8.47,12000.0
2020-01-14,8.2,8.25,8.2,8.24,2500.0
2020-01-15,8.0,8.0,8.0,8.0,6000.0
